request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256,affordable_now,full_payment,2024-03-03:25256,2024-03-03,none,"Pay ZAR 25,256 today. This leaves at least ZAR 18,000 available over the next 90 days."
request_02,17310239.37,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,none,"Use 3 installments of IDR 15,952,906.67, starting 8 August 2025. This leaves at least IDR 29,158,400 available."
request_03,872961.9,affordable_later,wait,2019-11-15:5491000,2019-11-15,none,"Pay IDR 5,491,000 in full on 15 November 2019. Paying earlier would take the balance below the IDR 2,668,700 minimum."
request_04,9721767.92,affordable_later,wait,2024-06-15:12693000,2024-06-15,none,"Pay IDR 12,693,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 30,686,600 minimum."
request_05,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 January 2026. None of the available options keeps the ZAR 13,100 minimum protected."
request_06,478.97,not_affordable,not_recommended,none,,none,Do not make this payment by 14 January 2026. None of the available options keeps the EUR 800 minimum protected.
request_07,82799.76,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-23,stop:event_582,"Stop the music subscription, then use 3 installments of INR 68,432, starting 12 September 2024. This leaves at least INR 93,000 available."
request_08,249.7,not_affordable,not_recommended,none,,none,Do not make this payment by 15 April 2025. None of the available options keeps the EUR 800 minimum protected.
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This leaves at least EUR 600 available over the next 90 days.
request_10,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 10 February 2025. None of the available options keeps the INR 225,400 minimum protected."
request_11,11239826.11,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 June 2025. None of the available options keeps the IDR 34,140,600 minimum protected."
request_12,57242.19,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,,stop:event_1016|reduce_to:event_1017:511.28|reduce_to:event_1054:1072.50,"Stop the family streaming plan, reduce the monthly shopping spend to zar 511.28 and reduce the coffee shop to zar 1,072.50, then use 3 installments of ZAR 22,590.19, starting 19 April 2026. This leaves at least ZAR 43,200 available."
request_13,426.36,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the EUR 1,300 minimum protected."
request_14,525.47,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 5,414.20 request. Although EUR 525.47 is available today, the full amount cannot be completed safely within 90 days."
request_15,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 February 2026. None of the available options keeps the EUR 1,200 minimum protected."
request_16,122500,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,"Pay INR 122,500 today. This leaves at least INR 122,400 available over the next 90 days."
request_17,234382.72,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-04-15,none,"Use 3 installments of INR 95,194.67, starting 1 March 2026. This leaves at least INR 166,100 available."
request_18,488.62,affordable_later,wait,2026-09-15:3246.10,2026-09-15,none,"Pay EUR 3,246.10 in full on 15 September 2026. Paying earlier would take the balance below the EUR 1,400 minimum."
request_19,22043.29,affordable_with_plan,partial_payment,2024-09-04:22043.29|2024-09-15:17616.71,2024-09-15,none,"Pay INR 22,043.29 today and the remaining INR 17,616.71 on 15 September 2024. This completes the full request and keeps the INR 92,800 minimum protected."
request_20,7358.72,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 February 2026. None of the available options keeps the INR 64,500 minimum protected."
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.40,2026-04-03,none,"Pay USD 1,574.40 today. This leaves at least USD 1,800 available over the next 90 days."
request_22,438.45,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,stop:event_1890,"Stop the music service subscription, then use 3 installments of EUR 253.59, starting 8 December 2024. This leaves at least EUR 500 available."
request_23,7518.46,affordable_later,wait,2025-07-15:38016,2025-07-15,none,"Pay ZAR 38,016 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 27,000 minimum."
request_24,12204.08,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 109,600 request. Although INR 12,204.08 is available today, the full amount cannot be completed safely within 90 days."
request_25,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 April 2024. None of the available options keeps the IDR 23,379,100 minimum protected."
